動畫名稱,ID,集數,年份,季節,字幕組
快藏好！瑪琪娜同學！！,1641,1-12,2025,春,
愛有點沉重的暗黑精靈從異世界緊追不放,1640,1-12,2025,春,
前橋魔女,1639,1-12,2025,春,
魔神創造傳,1602,1-24,2025,冬,
小市民系列 第二季,1662,11-22,2025,春,
搞笑漫畫日和 GO,1633,1-12,2025,春,
持續狩獵史萊姆三百年，不知不覺就練到 LV MAX 第二季,1632,1-12,2025,春,喵萌奶茶屋
拜託請穿上，鷹峰同學,1645,1-12,2025,春,桜都
男女之間存在純友情嗎？（不，不存在！）,1630,1-12,2025,春,
WIND BREAKER—防風少年— 第二季,1629,1-12,2025,春,
瞬間治癒卻被當成廢物踢出隊伍的天才治療師，改當無照治療師快樂過活,1627,1-12,2025,春,
直至魔女消逝,1623,1-12,2025,春,喵萌奶茶屋
來到棒球場捕捉我吧！,1665,1-12,2025,春,六四位元
終末起點,1626,1-12,2025,春,
完美到難以接近的聖女遭到解除婚約後被賣到鄰國,1625,1-12,2025,春,喵萌奶茶屋
使人誤解的工房主～關於原英雄隊伍的雜役人員，實際上除了戰鬥能力外全是SSS的故事～,1621,1-12,2025,春,
吸吸吸吸吸血鬼,1619,1-12,2025,冬,悠哈璃羽
Lycoris Recoil 莉可麗絲：友誼是時間的竊賊,1664,1-6,2025,春,
擊浪青春,1671,劇場版,2024,秋,MCE漢化組
為美好的世界獻上祝福！ 第三季,1455,1-11+12-13,2024,春,
卡片戰鬥!! 先導者 Divinez 第三季 DELUXE篇,1613,1-13,2025,冬,
無法抑制之情是否喚作愛,1668,連載中(01),2025,春,秋人
青春之箱,1549,1-25,2024,秋,喵萌奶茶屋
我的幸福婚約 第二季,1616,1-13,2025,冬,喵萌奶茶屋
地。-關於地球的運動-,1561,1-25,2024,秋,喵萌奶茶屋
Unnamed Memory 無名記憶 Act.2(第二季),1611,13-24,2025,冬,喵萌奶茶屋
神之塔 第二季,1507,1-26,2024,夏,喵萌奶茶屋
灰色：幻影扳機,539,1-3,2019,冬,喵萌奶茶屋
劇場總集篇 孤獨搖滾！Re:Re:,1644,劇場版,2024,夏,千夏
劇場總集篇 孤獨搖滾！Re,1643,劇場版,2024,春,千夏
小市民系列,1496,1-10,2024,夏,
UniteUp! 眾星齊聚 -Uni:Birth- (第二季),1599,1-12,2025,冬,
凍牌～地下麻將鬥牌錄～,1540,1-25,2024,秋,喵萌奶茶屋
